id,input,sql_query,target
"1","How many crimes were reported in Southwest during May 2022?","SELECT COUNT(*) AS crime_count 
FROM public.crime 
WHERE ""AREA NAME"" = 'Southwest' 
AND EXTRACT(MONTH FROM TO_DATE(""DATE OCC"", 'MM/DD/YYYY')) = 5 
AND EXTRACT(YEAR FROM TO_DATE(""DATE OCC"", 'MM/DD/YYYY')) = 2022;","There were 390 crimes reported in Southwest during May 2022."
"2","How many SHOPLIFTING - PETTY THEFT ($950 & UNDER) incidents were reported in 2024?","SELECT COUNT(*) AS crime_count 
FROM public.crime 
WHERE ""Crm Cd Desc"" = 'SHOPLIFTING - PETTY THEFT ($950 & UNDER)' 
AND EXTRACT(YEAR FROM TO_DATE(""DATE OCC"", 'MM/DD/YYYY')) = 2024;","There were 952 SHOPLIFTING - PETTY THEFT ($950 & UNDER) incidents reported in 2024."
"3","What time of day do most SHOPLIFTING - PETTY THEFT ($950 & UNDER) incidents occur?","SELECT 
  CASE 
    WHEN ""TIME OCC"" BETWEEN 0 AND 559 THEN 'Night (12AM-6AM)'
    WHEN ""TIME OCC"" BETWEEN 600 AND 1159 THEN 'Morning (6AM-12PM)'
    WHEN ""TIME OCC"" BETWEEN 1200 AND 1759 THEN 'Afternoon (12PM-6PM)'
    WHEN ""TIME OCC"" BETWEEN 1800 AND 2359 THEN 'Evening (6PM-12AM)'
  END AS time_of_day,
  COUNT(*) AS incident_count
FROM public.crime
WHERE ""Crm Cd Desc"" = 'SHOPLIFTING - PETTY THEFT ($950 & UNDER)'
GROUP BY time_of_day
ORDER BY incident_count DESC
LIMIT 1;","Most SHOPLIFTING - PETTY THEFT ($950 & UNDER) incidents occur during the Evening (6PM-12AM) period."
"4","What is the average age of victims in THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD incidents?","SELECT AVG(""Vict Age"") AS avg_age
FROM public.crime
WHERE ""Crm Cd Desc"" = 'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD'
AND ""Vict Age"" > 0 AND ""Vict Age"" < 100;","The average age of victims in THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD incidents is 19.6 years."
"5","What are the top 3 locations where RAPE, FORCIBLE incidents occur?","SELECT ""Premis Desc"", COUNT(*) AS incident_count
FROM public.crime
WHERE ""Crm Cd Desc"" = 'RAPE, FORCIBLE'
GROUP BY ""Premis Desc""
ORDER BY incident_count DESC
LIMIT 3;","The top 3 locations for RAPE, FORCIBLE incidents are STREET, HOTEL, MALL."
"6","What percentage of CRIMINAL HOMICIDE incidents involved a SEMI-AUTOMATIC PISTOL?","SELECT 
  (COUNT(*) FILTER (WHERE ""Weapon Desc"" LIKE '%SEMI-AUTOMATIC PISTOL%') * 100.0 / NULLIF(COUNT(*), 0)) AS percentage
FROM public.crime
WHERE ""Crm Cd Desc"" = 'CRIMINAL HOMICIDE';","Approximately 57.4% of CRIMINAL HOMICIDE incidents involved a SEMI-AUTOMATIC PISTOL."
"7","What percentage of THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) cases have been cleared by arrest?","SELECT 
  (COUNT(*) FILTER (WHERE ""Status"" IN ('AA', 'JA')) * 100.0 / NULLIF(COUNT(*), 0)) AS percentage
FROM public.crime
WHERE ""Crm Cd Desc"" = 'THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)';","Approximately 37.5% of THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) cases have been cleared by arrest."
"8","Has the number of INTIMATE PARTNER - SIMPLE ASSAULT incidents increased or decreased from 2022 to 2024?","SELECT 
  (SELECT COUNT(*) FROM public.crime 
   WHERE ""Crm Cd Desc"" = 'INTIMATE PARTNER - SIMPLE ASSAULT' 
   AND EXTRACT(YEAR FROM TO_DATE(""DATE OCC"", 'MM/DD/YYYY')) = 2024) -
  (SELECT COUNT(*) FROM public.crime 
   WHERE ""Crm Cd Desc"" = 'INTIMATE PARTNER - SIMPLE ASSAULT' 
   AND EXTRACT(YEAR FROM TO_DATE(""DATE OCC"", 'MM/DD/YYYY')) = 2022) AS difference;","The number of INTIMATE PARTNER - SIMPLE ASSAULT incidents has decreased by 73 from 2022 to 2024."
"9","What is the most common victim sex for THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) in Olympic?","SELECT ""Vict Sex"", COUNT(*) AS count
FROM public.crime
WHERE ""Crm Cd Desc"" = 'THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)'
AND ""AREA NAME"" = 'Olympic'
AND ""Vict Sex"" IN ('M', 'F')
GROUP BY ""Vict Sex""
ORDER BY count DESC
LIMIT 1;","The most common victim sex for THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) in Olympic is Female (F)."
"10","Which police area had the highest number of RAPE, FORCIBLE incidents in 2022?","SELECT ""AREA NAME"", COUNT(*) AS incident_count
FROM public.crime
WHERE ""Crm Cd Desc"" = 'RAPE, FORCIBLE'
AND EXTRACT(YEAR FROM TO_DATE(""DATE OCC"", 'MM/DD/YYYY')) = 2022
GROUP BY ""AREA NAME""
ORDER BY incident_count DESC
LIMIT 1;","Olympic had the highest number of RAPE, FORCIBLE incidents in 2022."
